Epoch 24, Batch 300, Control Accuracy: 0.630, Test Accuracy: 0.000, Control Loss: 169.260, Test Loss: 137.675
Epoch 24, Batch 400, Control Accuracy: 0.630, Test Accuracy: 0.000, Control Loss: 166.797, Test Loss: 127.798
Epoch 24, Batch 500, Control Accuracy: 0.790, Test Accuracy: 0.000, Control Loss: 167.835, Test Loss: 127.613
Epoch 24, Batch 600, Control Accuracy: 0.790, Test Accuracy: 0.000, Control Loss: 166.634, Test Loss: 130.043
Epoch 24, Batch 700, Control Accuracy: 0.740, Test Accuracy: 0.000, Control Loss: 167.945, Test Loss: 128.023
Epoch 24, Batch 800, Control Accuracy: 0.650, Test Accuracy: 0.000, Control Loss: 164.803, Test Loss: 130.879
Epoch 25, Batch 100, Control Accuracy: 0.730, Test Accuracy: 0.000, Control Loss: 167.720, Test Loss: 127.103
Epoch 25, Batch 200, Control Accuracy: 0.750, Test Accuracy: 0.000, Control Loss: 168.848, Test Loss: 125.899
Epoch 25, Batch 300, Control Accuracy: 0.790, Test Accuracy: 0.000, Control Loss: 165.848, Test Loss: 130.211
Epoch 25, Batch 400, Control Accuracy: 0.760, Test Accuracy: 0.000, Control Loss: 167.478, Test Loss: 129.562
Epoch 25, Batch 500, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 169.797, Test Loss: 126.258
Epoch 25, Batch 600, Control Accuracy: 0.810, Test Accuracy: 0.000, Control Loss: 171.025, Test Loss: 127.159
Epoch 25, Batch 700, Control Accuracy: 0.720, Test Accuracy: 0.000, Control Loss: 171.303, Test Loss: 134.561
Epoch 25, Batch 800, Control Accuracy: 0.600, Test Accuracy: 0.000, Control Loss: 169.591, Test Loss: 127.797
Epoch 26, Batch 100, Control Accuracy: 0.750, Test Accuracy: 0.000, Control Loss: 165.867, Test Loss: 129.092
Epoch 26, Batch 200, Control Accuracy: 0.610, Test Accuracy: 0.000, Control Loss: 164.171, Test Loss: 128.077
Epoch 26, Batch 300, Control Accuracy: 0.600, Test Accuracy: 0.000, Control Loss: 162.963, Test Loss: 132.179
Epoch 26, Batch 400, Control Accuracy: 0.550, Test Accuracy: 0.000, Control Loss: 166.174, Test Loss: 130.213
Epoch 26, Batch 500, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 166.792, Test Loss: 131.383
Epoch 26, Batch 600, Control Accuracy: 0.640, Test Accuracy: 0.000, Control Loss: 170.982, Test Loss: 125.870
Epoch 26, Batch 700, Control Accuracy: 0.730, Test Accuracy: 0.000, Control Loss: 171.365, Test Loss: 132.139
Epoch 26, Batch 800, Control Accuracy: 0.850, Test Accuracy: 0.000, Control Loss: 171.628, Test Loss: 124.508
Epoch 27, Batch 100, Control Accuracy: 0.750, Test Accuracy: 0.000, Control Loss: 167.212, Test Loss: 128.412
Epoch 27, Batch 200, Control Accuracy: 0.780, Test Accuracy: 0.000, Control Loss: 165.396, Test Loss: 125.515
Epoch 27, Batch 300, Control Accuracy: 0.240, Test Accuracy: 0.000, Control Loss: 168.072, Test Loss: 130.473
