30 epochs
learned relu
initial positive coefficient: 1.0
initial negative coefficient: 0.0
Epoch 14, Batch 700, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 173.983, Test Loss: 131.144
Epoch 14, Batch 800, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 168.983, Test Loss: 134.790
Epoch 15, Batch 100, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 174.733, Test Loss: 130.701
Epoch 15, Batch 200, Control Accuracy: 0.500, Test Accuracy: 0.000, Control Loss: 173.233, Test Loss: 130.154
Epoch 15, Batch 300, Control Accuracy: 0.580, Test Accuracy: 0.000, Control Loss: 173.483, Test Loss: 129.757
Epoch 15, Batch 400, Control Accuracy: 0.620, Test Accuracy: 0.000, Control Loss: 171.483, Test Loss: 131.050
Epoch 15, Batch 500, Control Accuracy: 0.420, Test Accuracy: 0.000, Control Loss: 172.483, Test Loss: 135.695
Epoch 15, Batch 600, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 169.483, Test Loss: 133.442
Epoch 15, Batch 700, Control Accuracy: 0.000, Test Accuracy: 0.000, Control Loss: 172.233, Test Loss: 154.951
Epoch 15, Batch 800, Control Accuracy: 0.000, Test Accuracy: 0.000, Control Loss: 172.483, Test Loss: 164.023
Epoch 16, Batch 100, Control Accuracy: 0.600, Test Accuracy: 0.000, Control Loss: 168.983, Test Loss: 126.007
Epoch 16, Batch 200, Control Accuracy: 0.500, Test Accuracy: 0.000, Control Loss: 171.483, Test Loss: 128.279
Epoch 16, Batch 300, Control Accuracy: 0.570, Test Accuracy: 0.000, Control Loss: 170.983, Test Loss: 133.041
Epoch 16, Batch 400, Control Accuracy: 0.040, Test Accuracy: 0.000, Control Loss: 172.733, Test Loss: 138.394
Epoch 16, Batch 500, Control Accuracy: 0.630, Test Accuracy: 0.000, Control Loss: 174.233, Test Loss: 131.004
Epoch 16, Batch 600, Control Accuracy: 0.670, Test Accuracy: 0.000, Control Loss: 171.483, Test Loss: 132.862
Epoch 16, Batch 700, Control Accuracy: 0.980, Test Accuracy: 0.000, Control Loss: 173.483, Test Loss: 137.045
Epoch 16, Batch 800, Control Accuracy: 0.490, Test Accuracy: 0.000, Control Loss: 176.233, Test Loss: 138.699
Epoch 17, Batch 100, Control Accuracy: 0.520, Test Accuracy: 0.000, Control Loss: 171.733, Test Loss: 128.370
Epoch 17, Batch 200, Control Accuracy: 0.600, Test Accuracy: 0.000, Control Loss: 172.233, Test Loss: 125.822
Epoch 17, Batch 300, Control Accuracy: 0.560, Test Accuracy: 0.000, Control Loss: 174.733, Test Loss: 127.757
Epoch 17, Batch 400, Control Accuracy: 0.720, Test Accuracy: 0.000, Control Loss: 171.483, Test Loss: 134.913
Epoch 17, Batch 500, Control Accuracy: 0.750, Test Accuracy: 0.000, Control Loss: 172.733, Test Loss: 129.523
Epoch 17, Batch 600, Control Accuracy: 0.490, Test Accuracy: 0.000, Control Loss: 171.733, Test Loss: 134.617
Epoch 17, Batch 700, Control Accuracy: 0.510, Test Accuracy: 0.000, Control Loss: 169.483, Test Loss: 128.373
Epoch 17, Batch 800, Control Accuracy: 0.930, Test Accuracy: 0.000, Control Loss: 174.233, Test Loss: 138.658
Epoch 18, Batch 100, Control Accuracy: 0.660, Test Accuracy: 0.000, Control Loss: 170.733, Test Loss: 131.622
